叨叨絮絮	du1 du1 slyu3 slyu3
叨念	du1 nim6
叨光	tu1 gong1
叨擾	tu1 jiu2
叨教	tu1 gaau3
叨竊	tu1 cit3
叨竊非據	tu1 cit3 fi1 gyu3
喇叭	laa1 baa1
喇嘛	laa1 maa4
哈喇	haa1 laat3
吃飯	hek3 faan6
口吃	hau2 gat1
吃吃而笑	hat1 hat1 ji4 sliu3
笑吃吃	sliu3 hat1 hat1
叱吒	cik1 caak1
哪吒	naa4 zaa1
木吒	muk6 zaa1
引吭高歌	jan5 hong4 gu1 go1
吭聲	hang1 seng1
不吭聲	bat1 hang1 seng1
一聲不吭	jat1 seng1 bat1 hang1
否極泰來	pi2 gik6 taai3 loi4
臧否	zong1 pi2
天地否	tin1 di6 pi2
陟罰臧否	zik1 faat6 zong1 pi2
否泰	pi2 taai3
酒吧	zau2 baa1
吧檯	baa1 toi4
吧女	baa1 nyu5
網吧	mong5 baa1
水吧	sui2 baa1
清吧	cing1 baa1
吧托	baa1 tok3
吧廳	baa1 teng1
基吧	gi1 baa1
迪吧	dik6 baa1
泡吧	paau3 baa1
落吧	lok6 baa1
吧主	baa1 zyu2
貼吧	tip3 baa1
爆吧	baau3 baa1
吧嗒	baa1 daap1
吧喳	baa1 zaa1
吧唧	baa1 zik1
算吧啦	slyun3 baa1 laa1
了吧	liu5 baa6
有吧	jau5 baa6
好吧	hu2 baa6
沒有吧	mut6 jau5 baa6
呆子	daai1 zy2
呆子	daai1 zi2
書呆子	syu1 daai1 zy2
書呆子	syu1 daai1 zi2
獃子	daai1 zy2
獃子	daai1 zi2
書獃子	syu1 daai1 zy2
書獃子	syu1 daai1 zi2
呆板	ngoi4 baan2
獃板	ngoi4 baan2
咖啡	kaa1 fi1
咖啡因	kaa1 fi1 jan1
咖啡色	kaa1 fi1 sik1
咖喱	gaa3 li1
呢絨	ni4 jung4
呢喃	ni4 naam4
細呢呢	slai3 ni1 ni1
呱呱叫	gwaa1 gwaa1 giu3
頂呱呱	ding2 gwaa1 gwaa1
呱呱大哭	gu1 gu1 daai6 huk1
呱呱墜地	gu1 gu1 zui6 di6
笑咪咪	sliu3 mi1 mi1
貓咪	meu1 mi1
貓咪	maau1 mi1
亂哄哄	lyun6 hung1 hung1
哄騙	hung2 pin3
吞咽	tan1 jin3
咽氣	jin3 hi3
咽苦吐甜	jin3 fu2 tu3 tim4
狼吞虎咽	long4 tan1 fu2 jin3
細嚼慢咽	slai3 zoek3 maan6 jin3
咽喉	jin1 hau4
鼻咽	bi6 jin1
鼻咽癌	bi6 jin1 ngaam4
哽咽	gang2 jit3
咽泣	jit3 jap1
嗚咽	wu1 jit3
悲咽	bi1 jit3
填咽	tin4 jit3
咯血	lok3 hyut3
咯痰	lok3 taam4
咯魚翅	lok3 jyu4 ci3
咯咯笑	gok3 gok3 sliu3
咯崩	gok3 bang1
咯噔	gok3 dang1
咯噠	gok3 daat6
咯吱	gok3 zi1
咯當	gok3 dong1
咯咯而笑	gok3 gok3 ji4 sliu3
咯咯響	gok3 gok3 hoeng2
吡咯	bi2 lok6
吡啶	bi2 ding6
哼唱	hang1 coeng3
哼歌	hang1 go1
哼哈	hang1 haa1
哼唧	hang1 zik1
哼聲	hang1 seng1
哼哧	hang1 ci1
哼唷	hang1 jo1
哼哈二將	hang1 haa1 ji6 zoeng3
哼哼唧唧	hang1 hang1 zik1 zik1
哩啦	li1 laa1
哩哩啦啦	li1 li1 laa1 laa1
嗶哩嗶哩	bat1 li1 bat1 li1
哩哩囉囉	li1 li1 lo1 lo1
花哩碌	faa1 li1 luk1
花碌碌	faa1 luk1 luk1
花哩碌碌	faa1 li1 luk1 luk1
花哩花碌	faa1 li1 faa1 luk1
花哩胡碌	faa1 li1 wu4 luk1
唉聲嘆氣	aai1 seng1 taan3 hi3
哦松	ngo4 cung4
吟哦	jam4 ngo4
吟沉	ngam4 cam4
啞啞	ak1 ak1
啞然	ak1 jin4
啞然而笑	ak1 jin4 ji4 sliu3
啞然失笑	ak1 jin4 sat1 sliu3
鴉聲啞啞	aa1 seng1 ak1 ak1
咿啞	ji1 aa1
喀山	haak3 saan1
喀什	haak3 sap6
喀什市	haak3 sap6 si5
喀喇沁	haak3 laa1 sam3
喀土穆	haak3 tu2 muk6
喀布爾	haak3 bu3 ji5
喀斯特	haak3 sy1 dak6
喀斯特	haak3 si1 dak6
喀斯特地貌	haak3 sy1 dak6 di6 maau6
喀斯特地貌	haak3 si1 dak6 di6 maau6
喀秋莎	haak3 cau1 saa1
